loan_id,fico,ltv,quarter,quarter_num,risk_segment,loan_amount,purpose
LN000036,720,57,2023-Q3,3,Prime,180874,Purchase
LN000214,720,58,2023-Q3,3,Prime,299904,Refinance
LN000004,721,74,2023-Q3,3,Prime,348913,Refinance
LN000288,722,77,2023-Q3,3,Prime,419931,Refinance
LN000358,722,99,2023-Q3,3,Prime,199344,Refinance
LN000443,723,104,2023-Q3,3,Prime,275033,Refinance
LN000088,724,63,2023-Q3,3,Prime,346567,Purchase
LN000118,727,88,2023-Q3,3,Prime,210744,Purchase
LN000102,728,95,2023-Q3,3,Prime,185336,Purchase
LN000121,729,104,2023-Q3,3,Prime,553033,Purchase
LN000174,734,58,2023-Q3,3,Prime,355260,Purchase
LN000412,734,87,2023-Q3,3,Prime,349284,Refinance
LN000226,736,64,2023-Q3,3,Prime,429500,Refinance
LN000384,736,59,2023-Q3,3,Prime,280004,Refinance
LN000246,737,103,2023-Q3,3,Prime,111488,Purchase
LN000116,739,70,2023-Q3,3,Prime,344908,Purchase
LN000451,742,91,2023-Q3,3,Prime,398585,Purchase
LN000065,747,74,2023-Q3,3,Prime,404576,Purchase
LN000172,748,100,2023-Q3,3,Prime,241353,Refinance
LN000104,751,80,2023-Q3,3,Prime,139619,Purchase
LN000066,755,86,2023-Q3,3,Prime,218596,Refinance
LN000416,757,93,2023-Q3,3,Prime,372974,Purchase
LN000349,758,104,2023-Q3,3,Prime,233708,Purchase
LN000344,760,59,2023-Q3,3,Super Prime,243344,Purchase
LN000435,760,76,2023-Q3,3,Super Prime,160161,Refinance
LN000032,765,73,2023-Q3,3,Super Prime,115528,Refinance
LN000120,765,67,2023-Q3,3,Super Prime,302362,Purchase
LN000450,767,102,2023-Q3,3,Super Prime,214958,Purchase
LN000025,769,74,2023-Q3,3,Super Prime,387155,Purchase
LN000206,773,63,2023-Q3,3,Super Prime,152427,Refinance
LN000006,774,82,2023-Q3,3,Super Prime,346209,Purchase
LN000326,776,78,2023-Q3,3,Super Prime,241054,Refinance
LN000252,777,72,2023-Q3,3,Super Prime,461026,Purchase
LN000507,779,73,2023-Q3,3,Super Prime,374824,Refinance
LN000511,798,104,2023-Q3,3,Super Prime,128400,Purchase
LN000442,804,75,2023-Q3,3,Super Prime,152387,Purchase
LN000321,808,85,2023-Q3,3,Super Prime,212698,Purchase
LN000220,811,93,2023-Q3,3,Super Prime,260868,Purchase
LN000061,815,81,2023-Q3,3,Super Prime,266965,Purchase
LN000490,843,89,2023-Q3,3,Super Prime,92000,Purchase
LN000168,848,70,2023-Q3,3,Super Prime,276158,Refinance
LN000423,848,76,2023-Q3,3,Super Prime,296753,Refinance
LN000167,606,99,2023-Q4,4,Subprime,234979,Purchase
LN000366,628,77,2023-Q4,4,Subprime,240532,Refinance
LN000448,639,51,2023-Q4,4,Subprime,146291,Purchase
LN000373,645,95,2023-Q4,4,Subprime,462165,Purchase
LN000501,645,93,2023-Q4,4,Subprime,406019,Refinance
LN000013,651,78,2023-Q4,4,Subprime,158975,Purchase
LN000117,657,81,2023-Q4,4,Subprime,280645,Purchase
LN000474,661,72,2023-Q4,4,Subprime,231233,Refinance
LN000427,664,104,2023-Q4,4,Subprime,232646,Refinance
LN000494,666,71,2023-Q4,4,Subprime,411076,Purchase
LN000464,670,93,2023-Q4,4,Subprime,383648,Refinance
LN000062,682,87,2023-Q4,4,Near Prime,469355,Purchase
LN000458,683,66,2023-Q4,4,Near Prime,127526,Purchase
LN000183,684,85,2023-Q4,4,Near Prime,377184,Refinance
LN000325,684,104,2023-Q4,4,Near Prime,371728,Purchase
LN000231,696,82,2023-Q4,4,Near Prime,309921,Refinance
LN000277,697,86,2023-Q4,4,Near Prime,353136,Purchase
LN000421,697,64,2023-Q4,4,Near Prime,406600,Purchase
LN000179,699,69,2023-Q4,4,Near Prime,271245,Purchase
LN000227,700,74,2023-Q4,4,Near Prime,241962,Purchase
LN000051,703,63,2023-Q4,4,Near Prime,344320,Refinance
LN000125,703,80,2023-Q4,4,Near Prime,327562,Purchase
LN000446,703,96,2023-Q4,4,Near Prime,348769,Purchase
LN000350,704,93,2023-Q4,4,Near Prime,381719,Refinance
LN000218,705,83,2023-Q4,4,Near Prime,283547,Refinance
LN000138,707,58,2023-Q4,4,Near Prime,278749,Refinance
LN000130,711,75,2023-Q4,4,Near Prime,344998,Purchase
LN000437,711,86,2023-Q4,4,Near Prime,300031,Purchase
LN000251,713,66,2023-Q4,4,Near Prime,92000,Purchase
LN000039,715,83,2023-Q4,4,Near Prime,389583,Purchase
LN000400,715,86,2023-Q4,4,Near Prime,224492,Purchase
LN000073,716,81,2023-Q4,4,Near Prime,216741,Refinance
LN000248,719,85,2023-Q4,4,Near Prime,422595,Purchase
LN000263,722,78,2023-Q4,4,Prime,264345,Purchase
LN000045,723,75,2023-Q4,4,Prime,243373,Refinance
LN000305,723,69,2023-Q4,4,Prime,270853,Purchase
LN000101,725,104,2023-Q4,4,Prime,406516,Refinance
LN000379,726,70,2023-Q4,4,Prime,230445,Purchase
LN000289,728,93,2023-Q4,4,Prime,244440,Purchase
LN000388,729,89,2023-Q4,4,Prime,422613,Refinance
LN000436,729,96,2023-Q4,4,Prime,454296,Purchase
LN000287,732,74,2023-Q4,4,Prime,263130,Refinance
LN000270,736,71,2023-Q4,4,Prime,318672,Purchase
LN000381,738,73,2023-Q4,4,Prime,92646,Purchase
LN000236,741,93,2023-Q4,4,Prime,398655,Refinance
LN000094,742,79,2023-Q4,4,Prime,187799,Purchase
LN000413,746,98,2023-Q4,4,Prime,246745,Refinance
LN000482,746,83,2023-Q4,4,Prime,371194,Refinance
LN000466,748,66,2023-Q4,4,Prime,490861,Purchase
LN000506,752,81,2023-Q4,4,Prime,350816,Purchase
LN000043,753,99,2023-Q4,4,Prime,392279,Purchase
LN000081,758,91,2023-Q4,4,Prime,586695,Purchase
LN000103,758,89,2023-Q4,4,Prime,389885,Purchase
LN000222,760,96,2023-Q4,4,Super Prime,602135,Purchase
LN000408,764,71,2023-Q4,4,Super Prime,323162,Refinance
LN000461,765,63,2023-Q4,4,Super Prime,253942,Refinance
LN000301,770,81,2023-Q4,4,Super Prime,237698,Purchase
LN000019,771,104,2023-Q4,4,Super Prime,284952,Purchase
LN000056,772,69,2023-Q4,4,Super Prime,283108,Refinance
LN000151,773,102,2023-Q4,4,Super Prime,337938,Purchase
LN000438,775,84,2023-Q4,4,Super Prime,94068,Purchase
LN000211,777,79,2023-Q4,4,Super Prime,360881,Refinance
LN000087,779,90,2023-Q4,4,Super Prime,305438,Refinance
LN000131,782,93,2023-Q4,4,Super Prime,430993,Refinance
LN000476,782,79,2023-Q4,4,Super Prime,349694,Purchase
LN000155,784,90,2023-Q4,4,Super Prime,258068,Refinance
LN000465,784,74,2023-Q4,4,Super Prime,362626,Refinance
LN000265,787,103,2023-Q4,4,Super Prime,258486,Refinance
LN000137,796,53,2023-Q4,4,Super Prime,442815,Purchase
LN000380,797,90,2023-Q4,4,Super Prime,238646,Purchase
LN000157,798,82,2023-Q4,4,Super Prime,266733,Refinance
LN000362,807,84,2023-Q4,4,Super Prime,338396,Refinance
LN000504,807,72,2023-Q4,4,Super Prime,369854,Refinance
LN000053,810,93,2023-Q4,4,Super Prime,207526,Purchase
LN000386,823,74,2023-Q4,4,Super Prime,472414,Purchase
LN000275,834,99,2023-Q4,4,Super Prime,331591,Refinance
LN000092,843,78,2023-Q4,4,Super Prime,415917,Purchase
LN000208,589,85,2024-Q1,5,Subprime,468034,Refinance
LN000391,594,103,2024-Q1,5,Subprime,344024,Refinance
LN000007,612,92,2024-Q1,5,Subprime,274991,Purchase
LN000024,656,87,2024-Q1,5,Subprime,229542,Refinance
LN000463,659,97,2024-Q1,5,Subprime,250046,Purchase
LN000161,665,78,2024-Q1,5,Subprime,288144,Purchase
LN000333,671,90,2024-Q1,5,Subprime,167073,Refinance
LN000133,681,103,2024-Q1,5,Near Prime,258389,Refinance
LN000282,687,72,2024-Q1,5,Near Prime,189293,Refinance
LN000330,687,104,2024-Q1,5,Near Prime,178339,Refinance
LN000055,701,84,2024-Q1,5,Near Prime,225043,Purchase
LN000509,701,99,2024-Q1,5,Near Prime,295821,Purchase
LN000027,706,77,2024-Q1,5,Near Prime,414307,Refinance
LN000046,708,100,2024-Q1,5,Near Prime,386976,Purchase
LN000308,709,83,2024-Q1,5,Near Prime,207527,Purchase
LN000164,710,86,2024-Q1,5,Near Prime,425084,Purchase
LN000029,711,94,2024-Q1,5,Near Prime,377500,Refinance
LN000205,711,85,2024-Q1,5,Near Prime,340062,Refinance
LN000364,722,70,2024-Q1,5,Prime,510342,Refinance
LN000175,724,90,2024-Q1,5,Prime,176380,Purchase
LN000318,724,78,2024-Q1,5,Prime,273244,Purchase
LN000395,724,66,2024-Q1,5,Prime,179065,Purchase
LN000114,728,82,2024-Q1,5,Prime,362171,Purchase
LN000500,731,74,2024-Q1,5,Prime,360658,Purchase
LN000345,733,99,2024-Q1,5,Prime,300714,Purchase
LN000398,733,104,2024-Q1,5,Prime,255661,Purchase
LN000040,734,93,2024-Q1,5,Prime,329915,Refinance
LN000139,735,73,2024-Q1,5,Prime,256023,Purchase
LN000154,735,87,2024-Q1,5,Prime,260692,Refinance
LN000213,736,71,2024-Q1,5,Prime,100011,Purchase
LN000038,741,96,2024-Q1,5,Prime,253650,Refinance
LN000229,742,102,2024-Q1,5,Prime,275468,Purchase
LN000285,742,78,2024-Q1,5,Prime,203778,Refinance
LN000268,743,83,2024-Q1,5,Prime,624533,Purchase
LN000292,744,81,2024-Q1,5,Prime,314805,Purchase
LN000460,746,83,2024-Q1,5,Prime,92000,Refinance
LN000148,747,76,2024-Q1,5,Prime,279281,Purchase
LN000418,750,81,2024-Q1,5,Prime,203517,Purchase
LN000129,751,77,2024-Q1,5,Prime,454752,Purchase
LN000159,755,74,2024-Q1,5,Prime,348112,Purchase
LN000371,764,74,2024-Q1,5,Super Prime,189182,Refinance
LN000142,766,96,2024-Q1,5,Super Prime,272262,Purchase
LN000387,775,88,2024-Q1,5,Super Prime,357472,Refinance
LN000084,777,95,2024-Q1,5,Super Prime,260737,Purchase
LN000180,783,71,2024-Q1,5,Super Prime,346920,Purchase
LN000022,792,86,2024-Q1,5,Super Prime,374912,Purchase
LN000001,808,77,2024-Q1,5,Super Prime,279391,Refinance
LN000122,825,84,2024-Q1,5,Super Prime,362635,Purchase
LN000376,839,84,2024-Q1,5,Super Prime,400113,Purchase
LN000300,585,74,2024-Q2,6,Subprime,92000,Refinance
LN000135,610,84,2024-Q2,6,Subprime,401668,Purchase
LN000257,627,72,2024-Q2,6,Subprime,420667,Refinance
LN000241,643,79,2024-Q2,6,Subprime,258018,Refinance
LN000356,647,69,2024-Q2,6,Subprime,469098,Refinance
LN000336,648,77,2024-Q2,6,Subprime,280768,Refinance
LN000310,651,94,2024-Q2,6,Subprime,275609,Purchase
LN000023,661,75,2024-Q2,6,Subprime,639056,Refinance
LN000335,666,99,2024-Q2,6,Subprime,111983,Purchase
LN000382,667,99,2024-Q2,6,Subprime,281770,Purchase
LN000050,672,94,2024-Q2,6,Subprime,138331,Purchase
LN000259,674,82,2024-Q2,6,Subprime,157655,Purchase
LN000397,674,80,2024-Q2,6,Subprime,333243,Refinance
LN000433,675,101,2024-Q2,6,Subprime,223060,Purchase
LN000410,681,85,2024-Q2,6,Near Prime,253811,Purchase
LN000342,683,87,2024-Q2,6,Near Prime,362325,Purchase
LN000340,685,92,2024-Q2,6,Near Prime,300327,Purchase
LN000165,686,57,2024-Q2,6,Near Prime,472621,Purchase
LN000235,686,95,2024-Q2,6,Near Prime,419517,Refinance
LN000215,689,103,2024-Q2,6,Near Prime,260856,Refinance
LN000294,689,83,2024-Q2,6,Near Prime,406489,Purchase
LN000075,690,80,2024-Q2,6,Near Prime,281701,Refinance
LN000260,691,67,2024-Q2,6,Near Prime,385040,Purchase
LN000100,697,80,2024-Q2,6,Near Prime,324087,Purchase
LN000513,698,58,2024-Q2,6,Near Prime,397573,Refinance
LN000281,699,89,2024-Q2,6,Near Prime,200028,Refinance
LN000044,708,71,2024-Q2,6,Near Prime,324661,Purchase
LN000140,717,97,2024-Q2,6,Near Prime,274328,Refinance
LN000193,720,96,2024-Q2,6,Prime,290837,Purchase
LN000042,723,76,2024-Q2,6,Prime,287616,Purchase
LN000189,723,99,2024-Q2,6,Prime,466167,Refinance
LN000353,723,59,2024-Q2,6,Prime,335625,Refinance
LN000115,724,69,2024-Q2,6,Prime,371692,Purchase
LN000134,726,53,2024-Q2,6,Prime,157317,Refinance
LN000247,727,74,2024-Q2,6,Prime,218364,Refinance
LN000303,730,92,2024-Q2,6,Prime,315395,Purchase
LN000341,730,58,2024-Q2,6,Prime,352932,Refinance
LN000503,732,69,2024-Q2,6,Prime,92000,Refinance
LN000177,734,94,2024-Q2,6,Prime,356479,Purchase
LN000493,735,68,2024-Q2,6,Prime,311237,Refinance
LN000188,736,85,2024-Q2,6,Prime,391080,Purchase
LN000158,740,81,2024-Q2,6,Prime,152647,Purchase
LN000187,747,73,2024-Q2,6,Prime,360357,Purchase
LN000086,751,102,2024-Q2,6,Prime,140835,Refinance
LN000070,756,71,2024-Q2,6,Prime,344447,Purchase
LN000444,757,87,2024-Q2,6,Prime,426452,Purchase
LN000499,757,64,2024-Q2,6,Prime,223878,Purchase
LN000324,760,65,2024-Q2,6,Super Prime,441475,Purchase
LN000002,761,63,2024-Q2,6,Super Prime,142202,Purchase
LN000317,762,85,2024-Q2,6,Super Prime,310137,Purchase
LN000016,763,82,2024-Q2,6,Super Prime,202146,Purchase
LN000147,764,70,2024-Q2,6,Super Prime,391731,Purchase
LN000153,765,75,2024-Q2,6,Super Prime,296828,Refinance
LN000378,771,83,2024-Q2,6,Super Prime,174992,Refinance
LN000512,776,73,2024-Q2,6,Super Prime,221226,Purchase
LN000195,779,85,2024-Q2,6,Super Prime,180929,Refinance
LN000201,779,88,2024-Q2,6,Super Prime,250595,Refinance
LN000240,779,91,2024-Q2,6,Super Prime,355125,Purchase
LN000481,779,93,2024-Q2,6,Super Prime,503168,Purchase
LN000389,782,64,2024-Q2,6,Super Prime,178285,Purchase
LN000414,783,84,2024-Q2,6,Super Prime,311619,Refinance
LN000415,783,95,2024-Q2,6,Super Prime,178773,Refinance
LN000431,788,85,2024-Q2,6,Super Prime,268482,Purchase
LN000484,790,78,2024-Q2,6,Super Prime,433450,Purchase
LN000141,791,74,2024-Q2,6,Super Prime,340818,Refinance
LN000095,794,79,2024-Q2,6,Super Prime,520463,Purchase
LN000194,817,86,2024-Q2,6,Super Prime,230679,Purchase
LN000354,817,68,2024-Q2,6,Super Prime,382741,Purchase
LN000072,822,63,2024-Q2,6,Super Prime,340286,Refinance
LN000202,829,53,2024-Q2,6,Super Prime,333602,Refinance
LN000516,619,80,2024-Q3,7,Subprime,457386,Refinance
LN000200,621,104,2024-Q3,7,Subprime,320781,Purchase
LN000426,644,83,2024-Q3,7,Subprime,246334,Purchase
LN000105,649,67,2024-Q3,7,Subprime,249335,Purchase
LN000422,664,68,2024-Q3,7,Subprime,283136,Refinance
LN000217,665,81,2024-Q3,7,Subprime,197763,Purchase
LN000078,675,86,2024-Q3,7,Subprime,221485,Purchase
LN000411,678,69,2024-Q3,7,Subprime,335899,Purchase
LN000093,679,74,2024-Q3,7,Subprime,423508,Refinance
LN000199,680,102,2024-Q3,7,Near Prime,295955,Purchase
LN000210,682,91,2024-Q3,7,Near Prime,588192,Purchase
LN000225,691,98,2024-Q3,7,Near Prime,270297,Purchase
LN000355,695,94,2024-Q3,7,Near Prime,211738,Purchase
LN000107,696,63,2024-Q3,7,Near Prime,100002,Refinance
LN000375,696,77,2024-Q3,7,Near Prime,100890,Purchase
LN000425,697,99,2024-Q3,7,Near Prime,322400,Refinance
LN000111,698,83,2024-Q3,7,Near Prime,323815,Refinance
LN000253,699,81,2024-Q3,7,Near Prime,252141,Refinance
LN000440,700,102,2024-Q3,7,Near Prime,530699,Purchase
LN000089,702,67,2024-Q3,7,Near Prime,164998,Refinance
LN000091,705,89,2024-Q3,7,Near Prime,147378,Refinance
LN000453,707,82,2024-Q3,7,Near Prime,437806,Purchase
LN000074,708,73,2024-Q3,7,Near Prime,231016,Purchase
LN000171,711,89,2024-Q3,7,Near Prime,177321,Refinance
LN000286,712,93,2024-Q3,7,Near Prime,436285,Refinance
LN000096,713,87,2024-Q3,7,Near Prime,245030,Purchase
LN000237,714,101,2024-Q3,7,Near Prime,252939,Refinance
LN000314,715,80,2024-Q3,7,Near Prime,329182,Purchase
LN000274,716,96,2024-Q3,7,Near Prime,170735,Purchase
LN000296,717,85,2024-Q3,7,Near Prime,147928,Refinance
LN000186,719,77,2024-Q3,7,Near Prime,421906,Purchase
LN000334,720,87,2024-Q3,7,Prime,94142,Purchase
LN000119,721,92,2024-Q3,7,Prime,428251,Purchase
LN000110,723,90,2024-Q3,7,Prime,456487,Purchase
LN000404,725,89,2024-Q3,7,Prime,292934,Purchase
LN000249,726,57,2024-Q3,7,Prime,425702,Refinance
LN000320,729,100,2024-Q3,7,Prime,120997,Purchase
LN000181,731,77,2024-Q3,7,Prime,586735,Purchase
LN000166,733,77,2024-Q3,7,Prime,228145,Refinance
LN000254,734,79,2024-Q3,7,Prime,382293,Purchase
LN000242,736,94,2024-Q3,7,Prime,285885,Refinance
LN000377,736,87,2024-Q3,7,Prime,260611,Purchase
LN000143,738,70,2024-Q3,7,Prime,272245,Purchase
LN000337,741,75,2024-Q3,7,Prime,369255,Purchase
LN000315,747,90,2024-Q3,7,Prime,265542,Purchase
LN000298,748,88,2024-Q3,7,Prime,205669,Purchase
LN000497,751,90,2024-Q3,7,Prime,246445,Purchase
LN000090,754,62,2024-Q3,7,Prime,217302,Refinance
LN000173,754,93,2024-Q3,7,Prime,265891,Refinance
LN000424,754,77,2024-Q3,7,Prime,218607,Purchase
LN000209,755,71,2024-Q3,7,Prime,238569,Purchase
LN000031,756,86,2024-Q3,7,Prime,324004,Purchase
LN000149,757,93,2024-Q3,7,Prime,245798,Refinance
LN000396,764,67,2024-Q3,7,Super Prime,417059,Purchase
LN000005,771,74,2024-Q3,7,Super Prime,206456,Purchase
LN000047,771,69,2024-Q3,7,Super Prime,245051,Refinance
LN000080,773,80,2024-Q3,7,Super Prime,428288,Purchase
LN000113,773,61,2024-Q3,7,Super Prime,153293,Purchase
LN000076,776,69,2024-Q3,7,Super Prime,372882,Refinance
LN000015,792,83,2024-Q3,7,Super Prime,323880,Purchase
LN000429,797,97,2024-Q3,7,Super Prime,490077,Purchase
LN000510,804,93,2024-Q3,7,Super Prime,297169,Purchase
LN000430,805,79,2024-Q3,7,Super Prime,438401,Refinance
LN000445,813,73,2024-Q3,7,Super Prime,203186,Refinance
LN000401,834,73,2024-Q3,7,Super Prime,418300,Refinance
LN000198,836,89,2024-Q3,7,Super Prime,185916,Purchase
LN000144,848,76,2024-Q3,7,Super Prime,345023,Purchase
LN000477,624,77,2024-Q4,8,Subprime,303011,Purchase
LN000132,626,88,2024-Q4,8,Subprime,297588,Refinance
LN000394,641,70,2024-Q4,8,Subprime,153611,Refinance
LN000028,652,85,2024-Q4,8,Subprime,340575,Purchase
LN000496,654,75,2024-Q4,8,Subprime,256905,Purchase
